Rg and SASA of DNAo
All Rg and SASA are normalized
System  Rg  SASA
DNAo  0.7353617412630289  0.576628985139083
DNAo  0.6690833844267315  0.5354502730852277
DNAo  0.6711220110361741  0.40068588847961384
DNAo  0.5591968117719188  0.3475168296710274
DNAo  0.6463672593500918  0.4758033786358438
DNAo  0.6860515021459225  0.4477327575257209
DNAo  0.6453402820355608  0.40889114695795736
DNAo  0.62613427345187  0.400101613108091
DNAo  0.6944052728387492  0.41547059570684597
DNAo  0.6938534641324339  0.39933951479740887
DNAo  0.6553954629061922  0.3706592150387399
DNAo  0.6496934396076025  0.4259875523942587
DNAo  0.6463979153893317  0.43886701384478594
DNAo  0.6361434702636422  0.39029594817731467
DNAo  0.6618025751072962  0.4358694271561032
DNAo  0.6827099938687917  0.3110377238663788
DNAo  0.6895769466584913  0.39766289851390824
DNAo  0.7188228080931943  0.4142258351327321
DNAo  0.6941600245248312  0.39545281341293015
DNAo  0.6341968117719188  0.43665692874380785
DNAo  0.6982526057633354  0.440696049790423
DNAo  0.6748773758430411  0.4329480502984884
DNAo  0.6924739423666458  0.4630509335704305
DNAo  0.6834457388105454  0.4885050171472118
DNAo  0.678295524218271  0.4915788136669631
DNAo  0.6719037400367869  0.4290105423599643
DNAo  0.6674279583077862  0.471764257589229
DNAo  0.6615266707541383  0.5415978661247299
DNAo  0.5861587982832619  0.46993522164359197
DNAo  0.6661557326793379  0.396926203480249
DNAo  0.6453556100551808  0.4093738092213895
DNAo  0.645539546290619  0.4066810618569796
DNAo  0.630748007357449  0.43922265972310415
DNAo  0.6925199264255057  0.46927473644100093
DNAo  0.6696658491722869  0.39697701003429436
DNAo  0.6703096259963213  0.3896354629747236
DNAo  0.7109595340282031  0.4408992760066048
DNAo  0.7137492335990191  0.460688428807316
DNAo  0.7032648681790314  0.46968118887336446
DNAo  0.6750000000000002  0.39654515432490794
DNAo  0.5779736358062534  0.3830814175028579
DNAo  0.59086450030656  0.3963419281087258
DNAo  0.6882740649908031  0.34896481646132343
DNAo  0.6057939914163091  0.37144671662644485
DNAo  0.6235591661557328  0.3973580591896354
DNAo  0.697823421213979  0.4064778356407975
DNAo  0.7023758430410789  0.39944112790549957
DNAo  0.6657112201103617  0.3668741267623522
DNAo  0.680778663396689  0.42723231296837294
DNAo  0.6878602084610668  0.4408738727295819
DNAo  0.6103004291845491  0.40607138320843394
DNAo  0.7228234212139788  0.4168931792201195
DNAo  0.592290006131208  0.40569033405309285
DNAo  0.6773911710606991  0.4339387781023751
DNAo  0.6566217044757813  0.35432490791312066
DNAo  0.7015328019619862  0.47491426394004815
DNAo  0.6681330472103005  0.4210339133748254
DNAo  0.6563917841814838  0.3790168931792202
DNAo  0.6235131820968729  0.4739235361361614
DNAo  0.6095646842427954  0.42235488378000746
DNAo  0.5864806866952785  0.3497269147720055
DNAo  0.6011189454322503  0.39903467547313604
DNAo  0.6108522378908644  0.37050679537660347
DNAo  0.6074494175352545  0.44476057411406067
DNAo  0.5918454935622317  0.37645116219992353
DNAo  0.6179337829552422  0.3788644735170838
DNAo  0.6427038626609438  0.38087133240187976
DNAo  0.6372317596566521  0.3374825352470468
DNAo  0.6277437155119554  0.3712180871332402
DNAo  0.5943133047210298  0.32389178203988317
DNAo  0.6131361128142243  0.4462339641813792
DNAo  0.6535561005518086  0.41658833989584665
DNAo  0.5839515634580011  0.43749523688555814
DNAo  0.6216891477621093  0.4302044963800328
DNAo  0.6059166155732675  0.3986028197637493
DNAo  0.6376302881667686  0.4582497142131336
DNAo  0.6124156958920907  0.40048266226343204
DNAo  0.6299509503372162  0.4241585164486216
DNAo  0.6361587982832614  0.4016512130064777
DNAo  0.6608369098712445  0.4277403785088275
DNAo  0.6269006744328628  0.42187222151657566
DNAo  0.641814837522992  0.43825733519624027
DNAo  0.6735898221949722  0.46122189762479343
DNAo  0.6379215205395459  0.4163851136796645
DNAo  0.6670294297976698  0.35135272450146043
DNAo  0.6558706315144084  0.39766289851390824
DNAo  0.5984978540772532  0.4437698463101739
DNAo  0.6557480073574493  0.38211609297599397
DNAo  0.6835070508890252  0.398933062365045
DNAo  0.6650980993255671  0.37721326051060566
DNAo  0.6606683016554257  0.4952622888352597
DNAo  0.6352237890864496  0.40099072780388667
DNAo  0.5887339055793991  0.373809221389559
DNAo  0.6760882893930102  0.4083576781404799
DNAo  0.6411097486204783  0.39016893179220113
DNAo  0.5959380748007352  0.452610186714086
DNAo  0.5644389944819127  0.37680680807824213
DNAo  0.604153893316983  0.34779626571827743
DNAo  0.5521919068056406  0.340353105550616
DNAo  0.5892857142857137  0.35831322240569013
DNAo  0.6202942979767012  0.3917185316905882
DNAo  0.617703862660944  0.38996570557601934
DNAo  0.6628448804414471  0.43124603073796525
DNAo  0.6836909871244634  0.3959354756763623
DNAo  0.6394543225015329  0.38646005334688166
DNAo  0.5827866339668913  0.41008510097802625
DNAo  0.612967504598406  0.39766289851390824
DNAo  0.6012262415695894  0.41534357932173244
DNAo  0.5777896995708152  0.3374063254159786
DNAo  0.6211679950950338  0.4169693890511877
DNAo  0.5735898221949726  0.36893179220119393
DNAo  0.5939454322501534  0.37411406071383185
DNAo  0.6269619865113426  0.3691858249714214
DNAo  0.5887339055793991  0.34632287565095893
DNAo  0.551440833844267  0.39364918074431593
DNAo  0.6464745554874308  0.4319319192175791
DNAo  0.6882127529123233  0.4669884415089546
DNAo  0.6770846106683012  0.38889876794106437
DNAo  0.6625076640098099  0.4422202464117872
DNAo  0.5967198038013487  0.4240569033405309
DNAo  0.6089975475168609  0.4334307125619205
DNAo  0.6646382587369708  0.44303315127651466
DNAo  0.6099478847332925  0.41163470087641296
DNAo  0.6630134886572654  0.4478089673567891
DNAo  0.6511036174126305  0.4871078369109615
DNAo  0.7377682403433472  0.5041534357932171
DNAo  0.6514714898835069  0.47105296583259226
DNAo  0.7443592887798894  0.46307633684745336
DNAo  0.6582158185162474  0.49211228248444056
DNAo  0.5943286327406497  0.4119649434777086
DNAo  0.5792765174739424  0.40896735678902557
DNAo  0.5304107909258121  0.4394258859392863
DNAo  0.6101624770079707  0.402489521148228
DNAo  0.6243408951563456  0.47087514289343335
DNAo  0.6509656652360515  0.4291375587450782
DNAo  0.615220723482526  0.4587831830306107
DNAo  0.6461986511342734  0.4122189762479358
DNAo  0.6519006744328631  0.4266480375968501
DNAo  0.6586450030656038  0.43858757779753593
DNAo  0.6436848559166155  0.4452940429315381
DNAo  0.6217351318209684  0.3521402260891654
DNAo  0.6124310239117107  0.46942715610313734
DNAo  0.6414776210913548  0.4626952876921123
DNAo  0.6555793991416304  0.4424488759049918
DNAo  0.6506591048436542  0.4636606122189762
DNAo  0.6731146535867566  0.42105931665184787
DNAo  0.6377222562844876  0.36999872983614884
DNAo  0.6643623543838135  0.43866378762860414
